Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,-8.85994377313182E-05,1.11421359179076E-05,-1.22169676615158E-05
0.1,-6.64953840896487E-05,9.61680689215427E-06,-1.08404174170573E-05
0.2,-4.87966935907025E-05,6.68931170366704E-06,-8.18515491118887E-06
0.3,-3.73979237338062E-05,2.84702696262684E-06,-4.72303327114787E-06
0.4,-3.30278744513635E-05,-1.30085004457214E-06,-1.02792500911164E-06
0.5,-3.51643029716797E-05,-5.12849601363996E-06,2.32331171901023E-06
0.6,-4.21601580455899E-05,-8.09825905889738E-06,4.84794600197347E-06
0.7,-5.1558581617428E-05,-9.85108999884688E-06,6.23866435489617E-06
0.8,-6.05390268901829E-05,-1.0264792763337E-05,6.41298311165883E-06
0.9,-6.64247636450455E-05,-9.47258195083123E-06,5.52558230992872E-06
1,-6.71637099003419E-05,-7.83680388849461E-06,3.9384813135257E-06
1.1,-6.1699298385065E-05,-5.8838413679041E-06,2.157328708563E-06
1.2,-5.01740978506859E-05,-4.21039021603065E-06,7.41372048196354E-07
1.3,-3.39270372933242E-05,-3.37645337822323E-06,2.04150310878504E-07
1.4,-1.52847551362356E-05,-3.80399637833762E-06,9.2103601900817E-07
1.5,2.81504867416515E-06,-5.69835628994042E-06,3.05882917928102E-06
1.6,1.73124444700079E-05,-9.00454051588895E-06,6.53856704957434E-06
1.7,2.55408867815277E-05,-1.34084211822483E-05,1.10408009277307E-05
1.8,2.56829134741565E-05,-1.83801603270695E-05,1.60488452820573E-05
1.9,1.70955754583701E-05,-2.32566035265336E-05,2.09266236197436E-05
2,4.44180273007078E-07,-2.7345053240424E-05,2.50166904152138E-05
2.1,-2.23736224143067E-05,-3.00350966426777E-05,2.77432372968178E-05
2.2,-4.85053133161273E-05,-3.08975395455491E-05,2.87031889456557E-05
2.3,-7.45759825804271E-05,-2.97554597636918E-05,2.77309973171214E-05
2.4,-9.72076013567857E-05,-2.67146660917206E-05,2.4924976969487E-05
2.5,-1.13536763819866E-04,-2.21480840991717E-05,2.0633280655602E-05
2.6,-1.21652068628464E-04,-1.66383506439161E-05,1.53991895786021E-05
2.7,-1.20876131404657E-04,-1.08848480522283E-05,9.8766486189561E-06
2.8,-1.11846158688422E-04,-5.59379122933024E-06,4.7275652832468E-06
2.9,-9.63858110480942E-05,-1.36703090447554E-06,5.2099466074651E-07
3,-7.71846243878826E-05,1.39123244480288E-06,-2.35477000387618E-06
3.1,-5.73419783904683E-05,2.53388429882762E-06,-3.74637465938577E-06
