*Time (s),Line A (?)
0,-1.08E-03
1,-9.71E-04
2,-4.64E-04
3,2.88E-04
4,1.03E-03
5,1.51E-03
6,1.59E-03
7,1.26E-03
8,6.25E-04
9,-1.14E-04
10,-7.17E-04
11,-9.96E-04
12,-8.90E-04
13,-4.87E-04
14,8.31E-06
15,3.60E-04
16,3.83E-04
17,1.67E-05
18,-6.68E-04
19,-1.49E-03
20,-2.19E-03
21,-2.55E-03
22,-2.43E-03
23,-1.85E-03
24,-9.87E-04
25,-1.36E-04
26,4.24E-04
27,5.39E-04
28,2.48E-04
29,-2.45E-04
30,-6.83E-04
31,-8.58E-04
32,-6.72E-04
33,-1.51E-04
34,5.71E-04
35,1.29E-03
36,1.78E-03
37,1.89E-03
38,1.62E-03
39,1.07E-03
40,4.40E-04
41,-6.99E-05
42,-3.38E-04
43,-3.09E-04
44,2.53E-07
45,5.13E-04
46,1.07E-03
47,1.47E-03
48,1.52E-03
49,1.21E-03
50,6.78E-04
51,1.38E-04
52,-2.20E-04
53,-3.12E-04
54,-1.51E-04
55,1.94E-04
56,6.21E-04
57,9.95E-04
58,1.16E-03
59,1.03E-03
60,5.97E-04
61,-7.92E-06
62,-6.17E-04
63,-1.09E-03
64,-1.37E-03
65,-1.43E-03
66,-1.30E-03
67,-1.04E-03
68,-7.78E-04
69,-6.76E-04
70,-8.43E-04
71,-1.23E-03
72,-1.68E-03
73,-1.96E-03
74,-1.93E-03
75,-1.54E-03
76,-8.66E-04
77,-9.18E-05
78,5.42E-04
79,8.78E-04
80,9.15E-04
81,7.73E-04
82,5.97E-04
83,4.89E-04
84,4.85E-04
85,5.67E-04
86,6.99E-04
87,8.39E-04
88,9.43E-04
89,9.75E-04
90,9.05E-04
91,7.24E-04
92,4.56E-04
93,1.51E-04
94,-1.22E-04
95,-2.97E-04
96,-3.37E-04
97,-2.38E-04
98,-3.32E-05
99,2.21E-04
100,4.56E-04
101,6.24E-04
102,7.05E-04
103,7.19E-04
104,7.01E-04
105,6.86E-04
106,6.95E-04
107,7.29E-04
108,7.77E-04
109,8.21E-04
110,8.41E-04
111,8.19E-04
112,7.39E-04
113,5.93E-04
114,3.77E-04
115,9.86E-05
116,-2.33E-04
117,-5.98E-04
118,-9.75E-04
119,-1.34E-03
120,-1.65E-03
121,-1.87E-03
122,-1.96E-03
123,-1.91E-03
124,-0.001730285
125,-1.47E-03
126,-1.22E-03
127,-1.03E-03
128,-9.23E-04
129,-8.49E-04
130,-7.38E-04
131,-5.35E-04
132,-2.17E-04
133,1.96E-04
134,6.49E-04
135,1.06E-03
136,1.38E-03
137,1.54E-03
138,1.55E-03
139,1.43E-03
140,1.24E-03
141,1.02E-03
142,8.25E-04
143,6.89E-04
144,6.37E-04
145,6.70E-04
146,7.65E-04
147,8.72E-04
148,9.23E-04
149,8.55E-04
150,6.36E-04
151,2.82E-04
152,-1.42E-04
153,-5.43E-04
154,-8.17E-04
155,-8.72E-04
156,-6.68E-04
157,-2.42E-04
158,2.80E-04
159,7.20E-04
160,9.39E-04
161,8.85E-04
162,6.08E-04
163,2.17E-04
164,-1.67E-04
165,-4.44E-04
166,-5.44E-04
167,-4.44E-04
168,-1.74E-04
169,1.69E-04
170,4.48E-04
171,5.29E-04
172,3.32E-04
173,-1.38E-04
174,-7.88E-04
175,-1.45E-03
176,-1.94E-03
177,-2.08E-03
178,-1.78E-03
179,-1.14E-03
180,-4.00E-04
181,1.46E-04
182,3.00E-04
183,4.99E-05
184,-4.49E-04
185,-9.64E-04
186,-1.27E-03
