Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,0.107438921928406,-2.58115847827867E-04,0.896438539028168
0.1,0.121063068509102,-3.86881351005286E-04,0.89828759431839
0.2,0.134093284606934,-5.14305545948446E-04,0.896593391895294
0.3,0.146454572677612,-6.40698475763202E-04,0.891124546527863
0.4,0.158075168728828,-7.65097502153367E-04,0.881594300270081
0.5,0.168886929750443,-8.8629376841709E-04,0.867929935455322
0.6,0.178826287388802,-1.00423744879663E-03,0.849850714206696
0.7,0.187834560871124,-1.11780199222267E-03,0.827161431312561
0.8,0.195858612656593,-1.22667092364281E-03,0.799759030342102
0.9,0.202851727604866,-1.33008172269911E-03,0.767619848251343
1,0.208773300051689,-1.4268810627982E-03,0.730536580085754
1.1,0.213590040802956,-1.51699164416641E-03,0.688558280467987
1.2,0.217275634407997,-1.59910076763481E-03,0.641721606254578
1.3,0.219811901450157,-1.67327141389251E-03,0.590023040771484
1.4,0.221188142895699,-1.73827784601599E-03,0.533589005470276
1.5,0.221401482820511,-1.79374066647142E-03,0.472564399242401
1.6,0.220457300543785,-1.83908245526254E-03,0.407111704349518
1.7,0.21836943924427,-1.87393103260547E-03,0.337503641843796
1.8,0.21515916287899,-1.89789023716003E-03,0.26401674747467
1.9,0.210856437683105,-1.91051431465894E-03,0.186968386173248
2,0.205498531460762,-1.91166263539344E-03,0.106767699122429
2.1,0.199130997061729,-1.90117408055812E-03,2.38194577395916E-02
2.2,0.191806226968765,-1.87905156053603E-03,-6.13863244652748E-02
2.3,0.18358413875103,-1.84534082654864E-03,-0.148366764187813
2.4,0.174531385302544,-1.80024176370353E-03,-0.236583963036537
2.5,0.164720818400383,-1.74391618929803E-03,-0.325417548418045
2.6,0.154231011867523,-1.67702080216259E-03,-0.41431188583374
2.7,0.143146097660065,-1.59976643044502E-03,-0.502536952495575
2.8,0.131554588675499,-1.51288381312042E-03,-0.589512705802917
2.9,0.119549244642258,-1.41670636367053E-03,-0.674610853195191
3,0.107226148247719,-1.31217844318599E-03,-0.757009506225586
3.1,9.46831330657005E-02,-1.19974394328892E-03,-0.83615243434906
3.2,8.20204168558121E-02,-1.08040904160589E-03,-0.911280333995819
3.3,6.93379044532776E-02,-9.54887771513313E-04,-0.981795310974121
3.4,5.67357577383518E-02,-8.23930546175689E-04,-1.04692149162292
3.5,4.43123914301395E-02,-6.88257743604481E-04,-1.10615181922913
3.6,3.21634188294411E-02,-5.49013493582606E-04,-1.15877425670624
3.7,2.03810315579176E-02,-4.06327832024545E-04,-1.2043080329895
3.8,9.05268173664808E-03,-2.60906497715041E-04,-1.24231123924255
3.9,-1.74011837225407E-03,-1.1421069939388E-04,-1.27216875553131
4,-1.19223138317466E-02,3.39927391905803E-05,-1.29361283779144
4.1,-2.14271638542414E-02,1.82323696208186E-04,-1.30637013912201
4.2,-3.01958788186312E-02,3.30106762703508E-04,-1.3100677728653
4.3,-3.81791219115257E-02,4.76942223031074E-04,-1.30463039875031
4.4,-4.53379265964031E-02,6.22179708443582E-04,-1.2899386882782
4.5,-5.16435913741589E-02,7.65193544793874E-04,-1.26611363887787
4.6,-5.70777878165245E-02,9.04519227333367E-04,-1.23319506645203
4.7,-6.16332739591599E-02,1.03991199284792E-03,-1.19133079051971
4.8,-6.53127729892731E-02,1.17067096289247E-03,-1.14080333709717
4.9,-6.81300908327103E-02,1.29585340619087E-03,-1.08203840255737
5,-7.01088011264801E-02,1.41499354504049E-03,-1.01541996002197
5.1,-7.12816938757896E-02,1.52648019138724E-03,-0.941583216190338
5.2,-7.16907680034637E-02,1.63002696353942E-03,-0.860948085784912
5.3,-7.13855177164078E-02,1.72512466087937E-03,-0.774295151233673
5.4,-7.04220458865166E-02,1.80999573785812E-03,-0.68230801820755
5.5,-6.88628032803535E-02,1.88460922800004E-03,-0.585692703723907
5.6,-6.67745769023895E-02,1.9481600029394E-03,-0.485328435897827
5.7,-6.42276331782341E-02,2.0000038202852E-03,-0.381953120231628
5.8,-6.12944215536118E-02,2.03931797295809E-03,-0.276505142450333
5.9,-0.058048702776432,2.06598453223705E-03,-0.169795721769333
6,-5.45638166368008E-02,2.07915948703885E-03,-6.27120807766914E-02
6.1,-5.09123131632805E-02,2.07897927612066E-03,4.38845008611679E-02
6.2,-0.047163974493742,2.06515518948436E-03,0.149212628602982
6.3,-4.33861650526524E-02,2.0377233158797E-03,0.252479314804077
6.4,-3.96415963768959E-02,1.99675932526588E-03,0.352797329425812
6.5,-3.59884165227413E-02,1.94247555918992E-03,0.44948211312294
6.6,-3.24797965586185E-02,1.87516503501683E-03,0.541874527931213
6.7,-2.91624311357737E-02,1.7953640781343E-03,0.629272699356079
6.8,-2.60777790099382E-02,1.70376093592495E-03,0.711067020893097
6.9,-2.32602246105671E-02,1.60062895156443E-03,0.786803245544434
7,-2.07374729216099E-02,1.48719048593193E-03,0.855957806110382
7.1,-1.85312367975712E-02,1.36415392626077E-03,0.918084561824799
7.2,-1.66566967964172E-02,1.23262091074139E-03,0.972918331623077
7.3,-1.51224071159959E-02,1.09319284092635E-03,1.02011752128601
7.4,-1.39309074729681E-02,9.46973799727857E-04,1.05952572822571
