Structure Position, RAO-Based Response
Line A: Structure Position, RAO-Based Response - Global Z (Part - Center of Gravity relative to Origin of Fixed Reference Axes (FRA)) [m]
Line B: Structure Position, RAO-Based Response - Global RX (Part) [°]
Line C: Structure Position, RAO-Based Response - Global RY (Part) [°]

*Time (s),Line A (m),Line B (°),Line C (°)
0.0,0.0,0.0,0.0
2e-3,6.40513405869569E-07,7.19760029355143E-09,-2.31873951150874E-08
4e-3,2.56210751103936E-06,4.29130757595431E-08,-9.27730994249032E-08
6e-3,5.76485308556585E-06,1.28327414472551E-07,-2.08788492273015E-07
8e-3,1.0248806574964E-05,2.84632591274203E-07,-3.71278588318091E-07
0.01,1.60140170919476E-05,5.32995500179823E-07,-5.8025705129694E-07
0.012,2.30604982789373E-05,8.94612867341493E-07,-8.35775608720724E-07
0.014,3.13882774207741E-05,1.39066162319068E-06,-1.13786109068315E-06
0.016,4.09973654313944E-05,2.04232333089749E-06,-1.48654669374082E-06
0.018,5.18877423019148E-05,2.87077727989526E-06,-1.88186368177412E-06
0.02,6.40593789285049E-05,3.89720116800163E-06,-2.32384377341077E-06
0.022,7.75122389313765E-05,5.14277326146839E-06,-2.81251709566277E-06
0.024,9.22462349990383E-05,6.62866523271077E-06,-3.34791388922895E-06
0.026,1.08261381683405E-04,8.37605784909101E-06,-3.93006621379755E-06
0.028,1.25557533465326E-04,1.04061209640349E-05,-4.55900180895696E-06
0.03,1.44134624861181E-04,1.2740025340463E-05,-5.23474955116399E-06
0.032,1.63992532179691E-04,1.5398936739075E-05,-5.95733854424907E-06
0.034,1.85131124453619E-04,1.84040272870334E-05,-6.72679561830591E-06
0.036,2.07550299819559E-04,2.17764572880697E-05,-7.54314987716498E-06
0.038,2.31249883654527E-04,2.55374998232583E-05,-8.40657776279841E-06
0.04,2.56229774095118E-04,2.97081041935598E-05,-9.316823707195E-06
0.042,2.82489636447281E-04,3.43095271091443E-05,-1.02740414149594E-05
0.044,3.100294561591E-04,3.93629234167747E-05,-1.12782645373954E-05
0.046,3.38848942192271E-04,4.48894425062463E-05,-1.23295130833867E-05
0.048,3.68947861716151E-04,5.09102246724069E-05,-1.34278116092901E-05
0.05,4.00326069211587E-04,5.74464429519139E-05,-1.45731883094413E-05
0.052,4.32983244536445E-04,6.45193867967464E-05,-1.57654685608577E-05
0.054,4.66919154860079E-04,7.21498654456809E-05,-1.70050479937345E-05
0.056,5.02133450936526E-04,8.03591610747389E-05,-1.8291770174983E-05
0.058,5.38626045454293E-04,8.91684467205778E-05,-1.96256642084336E-05
0.06,5.76396414544433E-04,9.85990118351765E-05,-2.10070793400519E-05
0.062,6.15444325376302E-04,1.0867157834582E-04,-2.24353898374829E-05
0.064,6.55769486911595E-04,1.19407464808319E-04,-2.39109231188195E-05
