时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0.001,0,0.422,-0.02,0.002,0,4,15,6,0
1,0,-0.003,-0.002,-0.286,-0.307,0.004,0,4,15,6,0
1.5,-0.002,-0.007,-0.004,-0.988,-0.568,0.005,0,4,15,6,0
2,-0.004,-0.01,-0.007,-1.792,-0.797,0.005,0,4,15,6,0
2.5,-0.007,-0.013,-0.008,-2.51,-0.977,0.005,0,4,15,6,0
3,-0.01,-0.013,-0.01,-2.973,-1.098,0.004,0,4,15,6,0
3.5,-0.013,-0.013,-0.01,-3.118,-1.154,0.005,0,4,15,6,0
4,-0.014,-0.01,-0.01,-2.948,-1.148,0.005,0,4,15,6,0
4.5,-0.014,-0.008,-0.009,-2.524,-1.084,0.006,0,4,15,6,0
5,-0.012,-0.005,-0.008,-1.995,-0.976,0.007,0,4,15,6,0
5.5,-0.011,-0.003,-0.006,-1.532,-0.834,0.007,0,4,15,6,0
6,-0.008,-0.001,-0.005,-1.149,-0.643,0.006,0,4,15,6,0
6.5,-0.006,0,-0.003,-0.852,-0.403,0.003,0,4,15,6,0
7,-0.002,0,-0.001,-0.539,-0.127,0,0,4,15,6,0
7.5,0.001,0,0.001,-0.217,0.163,-0.004,0,4,15,6,0
8,0.004,-0.002,0.002,0.152,0.451,-0.007,0,4,15,6,0
8.5,0.007,-0.004,0.004,0.525,0.72,-0.01,0,4,15,6,0
9,0.008,-0.006,0.006,0.828,0.95,-0.012,0,4,15,6,0
9.5,0.009,-0.009,0.007,0.977,1.122,-0.015,0,4,15,6,0
10,0.008,-0.01,0.008,0.975,1.234,-0.017,0,4,15,6,0
10.5,0.007,-0.011,0.008,0.829,1.28,-0.018,0,4,15,6,0
11,0.005,-0.011,0.007,0.564,1.256,-0.019,0,4,15,6,0
11.5,0.003,-0.01,0.006,0.243,1.167,-0.019,0,4,15,6,0
12,0.001,-0.009,0.005,-0.037,1.03,-0.018,0,4,15,6,0
12.5,0,-0.007,0.004,-0.202,0.86,-0.016,0,4,15,6,0
13,-0.001,-0.006,0.003,-0.162,0.687,-0.013,0,4,15,6,0
13.5,-0.001,-0.004,0.003,0.02,0.504,-0.009,0,4,15,6,0
14,-0.001,-0.003,0.002,0.25,0.31,-0.004,0,4,15,6,0
14.5,-0.001,-0.002,0.001,0.492,0.121,0,0,4,15,6,0
15,-0.001,-0.001,0.001,0.799,-0.018,0.004,0,4,15,6,0
15.5,-0.001,-0.001,0.001,1.15,-0.093,0.007,0,4,15,6,0
16,-0.002,-0.002,0.002,1.459,-0.105,0.009,0,4,15,6,0
16.5,-0.003,-0.002,0.002,1.717,-0.039,0.009,0,4,15,6,0
17,-0.006,-0.002,0.003,1.968,0.128,0.007,0,4,15,6,0
17.5,-0.008,-0.002,0.005,2.166,0.378,0.004,0,4,15,6,0
18,-0.012,-0.002,0.007,2.282,0.698,-0.001,0,4,15,6,0
18.5,-0.015,0,0.008,2.255,1.052,-0.007,0,4,15,6,0
19,-0.017,0.002,0.01,2.082,1.415,-0.014,0,4,15,6,0
19.5,-0.019,0.005,0.011,1.784,1.758,-0.022,0,4,15,6,0
20,-0.02,0.008,0.012,1.422,2.062,-0.029,0,4,15,6,0
20.5,-0.019,0.011,0.013,1.013,2.288,-0.035,0,4,15,6,0
21,-0.018,0.014,0.013,0.614,2.42,-0.039,0,4,15,6,0
21.5,-0.015,0.015,0.013,0.248,2.436,-0.041,0,4,15,6,0
22,-0.012,0.016,0.012,-0.059,2.324,-0.041,0,4,15,6,0
22.5,-0.009,0.015,0.01,-0.33,2.071,-0.038,0,4,15,6,0
23,-0.005,0.012,0.008,-0.589,1.674,-0.032,0,4,15,6,0
23.5,-0.002,0.008,0.005,-0.808,1.158,-0.024,0,4,15,6,0
24,0,0.002,0.001,-0.999,0.54,-0.014,0,4,15,6,0
24.5,0,-0.004,-0.002,-1.198,-0.159,-0.003,0,4,15,6,0
25,-0.001,-0.011,-0.006,-1.398,-0.902,0.009,0,4,15,6,0
25.5,-0.005,-0.017,-0.01,-1.541,-1.634,0.021,0,4,15,6,0
26,-0.009,-0.022,-0.014,-1.551,-2.296,0.032,0,4,15,6,0
26.5,-0.014,-0.024,-0.016,-1.421,-2.847,0.042,0,4,15,6,0
27,-0.019,-0.025,-0.018,-1.18,-3.254,0.051,0,4,15,6,0
27.5,-0.023,-0.023,-0.019,-0.88,-3.496,0.056,0,4,15,6,0
28,-0.026,-0.02,-0.019,-0.58,-3.561,0.059,0,4,15,6,0
28.5,-0.027,-0.016,-0.018,-0.398,-3.468,0.058,0,4,15,6,0
29,-0.027,-0.011,-0.017,-0.358,-3.22,0.054,0,4,15,6,0
29.5,-0.025,-0.007,-0.015,-0.391,-2.814,0.047,0,4,15,6,0
30,-0.021,-0.003,-0.012,-0.531,-2.298,0.037,0,4,15,6,0
30.5,-0.016,0,-0.009,-0.68,-1.68,0.026,0,4,15,6,0
31,-0.011,0.001,-0.006,-0.798,-1.002,0.013,0,4,15,6,0
31.5,-0.005,0.001,-0.003,-0.889,-0.316,0.001,0,4,15,6,0
32,0.001,-0.001,0.001,-0.806,0.38,-0.011,0,4,15,6,0
32.5,0.007,-0.004,0.005,-0.516,1.054,-0.021,0,4,15,6,0
33,0.011,-0.009,0.008,-0.086,1.662,-0.029,0,4,15,6,0
33.5,0.014,-0.014,0.011,0.4,2.17,-0.036,0,4,15,6,0
34,0.015,-0.019,0.014,0.892,2.565,-0.04,0,4,15,6,0
34.5,0.014,-0.024,0.016,1.312,2.827,-0.043,0,4,15,6,0
35,0.011,-0.027,0.017,1.578,2.942,-0.043,0,4,15,6,0
35.5,0.008,-0.028,0.017,1.643,2.907,-0.042,0,4,15,6,0
36,0.004,-0.028,0.016,1.596,2.756,-0.04,0,4,15,6,0
36.5,0,-0.026,0.015,1.56,2.532,-0.036,0,4,15,6,0
37,-0.003,-0.023,0.013,1.549,2.247,-0.031,0,4,15,6,0
37.5,-0.005,-0.02,0.012,1.602,1.934,-0.026,0,4,15,6,0
38,-0.007,-0.017,0.01,1.69,1.605,-0.02,0,4,15,6,0
38.5,-0.008,-0.014,0.009,1.807,1.285,-0.013,0,4,15,6,0
39,-0.008,-0.011,0.008,1.954,1.003,-0.008,0,4,15,6,0
39.5,-0.008,-0.008,0.006,1.972,0.73,-0.003,0,4,15,6,0
40,-0.007,-0.005,0.005,1.802,0.472,0.001,0,4,15,6,0
40.5,-0.005,-0.003,0.003,1.48,0.245,0.003,0,4,15,6,0
41,-0.003,-0.001,0.002,1.077,0.061,0.004,0,4,15,6,0
41.5,0,0,0,0.562,-0.105,0.005,0,4,15,6,0
42,0.002,0,-0.001,-0.011,-0.254,0.004,0,4,15,6,0
42.5,0.005,0,-0.003,-0.567,-0.388,0.004,0,4,15,6,0
43,0.007,-0.001,-0.004,-0.988,-0.495,0.004,0,4,15,6,0
43.5,0.008,-0.002,-0.005,-1.222,-0.577,0.004,0,4,15,6,0
44,0.008,-0.003,-0.005,-1.312,-0.654,0.005,0,4,15,6,0
44.5,0.008,-0.005,-0.006,-1.295,-0.734,0.006,0,4,15,6,0
45,0.008,-0.006,-0.006,-1.197,-0.815,0.008,0,4,15,6,0
45.5,0.007,-0.007,-0.006,-1.047,-0.893,0.01,0,4,15,6,0
46,0.006,-0.008,-0.006,-0.884,-0.966,0.012,0,4,15,6,0
46.5,0.005,-0.009,-0.006,-0.732,-1.027,0.014,0,4,15,6,0
47,0.004,-0.01,-0.006,-0.629,-1.074,0.016,0,4,15,6,0
47.5,0.003,-0.011,-0.007,-0.648,-1.123,0.016,0,4,15,6,0
48,0.002,-0.012,-0.007,-0.817,-1.18,0.016,0,4,15,6,0
48.5,0,-0.013,-0.008,-1.102,-1.242,0.016,0,4,15,6,0
49,-0.002,-0.014,-0.008,-1.356,-1.275,0.015,0,4,15,6,0
49.5,-0.004,-0.014,-0.008,-1.487,-1.271,0.015,0,4,15,6,0
50,-0.005,-0.013,-0.008,-1.436,-1.219,0.014,0,4,15,6,0
50.5,-0.006,-0.011,-0.007,-1.23,-1.128,0.014,0,4,15,6,0
51,-0.007,-0.009,-0.006,-0.972,-1.022,0.013,0,4,15,6,0
51.5,-0.007,-0.007,-0.006,-0.757,-0.918,0.012,0,4,15,6,0
52,-0.007,-0.005,-0.005,-0.607,-0.816,0.011,0,4,15,6,0
52.5,-0.007,-0.004,-0.004,-0.578,-0.732,0.01,0,4,15,6,0
53,-0.007,-0.003,-0.004,-0.666,-0.668,0.008,0,4,15,6,0
53.5,-0.007,-0.002,-0.004,-0.827,-0.621,0.007,0,4,15,6,0
54,-0.008,-0.001,-0.004,-1.022,-0.594,0.005,0,4,15,6,0
54.5,-0.008,0,-0.005,-1.201,-0.583,0.004,0,4,15,6,0
55,-0.008,0.001,-0.005,-1.269,-0.571,0.004,0,4,15,6,0
55.5,-0.007,0.002,-0.004,-1.186,-0.552,0.004,0,4,15,6,0
56,-0.006,0.003,-0.004,-0.976,-0.528,0.004,0,4,15,6,0
56.5,-0.005,0.003,-0.004,-0.695,-0.503,0.005,0,4,15,6,0
57,-0.004,0.003,-0.003,-0.394,-0.476,0.006,0,4,15,6,0
57.5,-0.003,0.003,-0.003,-0.186,-0.467,0.007,0,4,15,6,0
58,-0.003,0.004,-0.003,-0.13,-0.479,0.008,0,4,15,6,0
58.5,-0.002,0.004,-0.003,-0.161,-0.488,0.008,0,4,15,6,0
59,-0.002,0.005,-0.003,-0.27,-0.499,0.007,0,4,15,6,0
59.5,-0.002,0.006,-0.004,-0.544,-0.545,0.007,0,4,15,6,0
60,-0.001,0.008,-0.004,-0.915,-0.615,0.006,0,4,15,6,0
60.5,0,0.009,-0.005,-1.323,-0.712,0.006,0,4,15,6,0
61,0.001,0.011,-0.007,-1.699,-0.83,0.006,0,4,15,6,0
61.5,0.003,0.013,-0.008,-1.983,-0.966,0.007,0,4,15,6,0
62,0.006,0.014,-0.009,-2.118,-1.108,0.009,0,4,15,6,0
62.5,0.008,0.014,-0.009,-2.074,-1.246,0.011,0,4,15,6,0
63,0.01,0.013,-0.009,-1.849,-1.365,0.015,0,4,15,6,0
63.5,0.012,0.012,-0.009,-1.484,-1.455,0.018,0,4,15,6,0
64,0.013,0.01,-0.009,-1.075,-1.518,0.021,0,4,15,6,0
64.5,0.013,0.008,-0.009,-0.722,-1.556,0.023,0,4,15,6,0
65,0.013,0.006,-0.008,-0.44,-1.549,0.025,0,4,15,6,0
65.5,0.013,0.004,-0.008,-0.258,-1.495,0.025,0,4,15,6,0
66,0.013,0.002,-0.007,-0.211,-1.399,0.023,0,4,15,6,0
66.5,0.011,0,-0.007,-0.244,-1.25,0.02,0,4,15,6,0
67,0.009,-0.001,-0.005,-0.221,-1.019,0.017,0,4,15,6,0
67.5,0.006,-0.002,-0.004,-0.108,-0.716,0.012,0,4,15,6,0
68,0.003,-0.001,-0.002,0.088,-0.357,0.007,0,4,15,6,0
68.5,-0.001,0,0,0.26,0.013,0.001,0,4,15,6,0
69,-0.003,0.002,0.002,0.351,0.368,-0.005,0,4,15,6,0
69.5,-0.005,0.005,0.004,0.335,0.681,-0.01,0,4,15,6,0
70,-0.005,0.007,0.005,0.139,0.909,-0.015,0,4,15,6,0
70.5,-0.004,0.007,0.005,-0.252,1.025,-0.019,0,4,15,6,0
71,-0.003,0.006,0.004,-0.757,1.024,-0.022,0,4,15,6,0
71.5,-0.001,0.005,0.003,-1.258,0.914,-0.022,0,4,15,6,0
72,0,0.002,0.001,-1.628,0.714,-0.02,0,4,15,6,0
72.5,0,0,0,-1.684,0.473,-0.016,0,4,15,6,0
73,0,-0.002,-0.001,-1.389,0.213,-0.011,0,4,15,6,0
73.5,-0.001,-0.002,-0.001,-0.814,-0.049,-0.003,0,4,15,6,0
74,-0.001,-0.003,-0.002,-0.073,-0.292,0.005,0,4,15,6,0
74.5,-0.001,-0.002,-0.002,0.69,-0.5,0.012,0,4,15,6,0
75,-0.001,-0.002,-0.001,1.341,-0.656,0.018,0,4,15,6,0
75.5,-0.002,-0.002,-0.001,1.765,-0.749,0.022,0,4,15,6,0
76,-0.001,-0.001,-0.001,1.96,-0.752,0.023,0,4,15,6,0
76.5,-0.001,-0.001,-0.001,1.829,-0.695,0.021,0,4,15,6,0
77,-0.002,-0.001,-0.001,1.38,-0.586,0.017,0,4,15,6,0
77.5,-0.002,0,-0.001,0.792,-0.408,0.011,0,4,15,6,0
78,-0.001,0,-0.001,0.204,-0.173,0.004,0,4,15,6,0
78.5,0,0,0,-0.277,0.102,-0.003,0,4,15,6,0
79,0.002,0,0.001,-0.565,0.397,-0.01,0,4,15,6,0
79.5,0.004,-0.001,0.003,-0.63,0.688,-0.015,0,4,15,6,0
80,0.006,-0.003,0.004,-0.536,0.937,-0.019,0,4,15,6,0
80.5,0.008,-0.004,0.005,-0.352,1.119,-0.021,0,4,15,6,0
81,0.008,-0.006,0.006,-0.156,1.213,-0.022,0,4,15,6,0
81.5,0.007,-0.007,0.006,-0.021,1.207,-0.021,0,4,15,6,0
82,0.006,-0.008,0.005,0.006,1.095,-0.019,0,4,15,6,0
82.5,0.004,-0.007,0.004,-0.045,0.899,-0.016,0,4,15,6,0
83,0.002,-0.005,0.003,-0.171,0.626,-0.012,0,4,15,6,0
83.5,0,-0.001,0.001,-0.405,0.278,-0.007,0,4,15,6,0
84,0,0.002,-0.001,-0.62,-0.096,-0.001,0,4,15,6,0
84.5,0,0.006,-0.003,-0.747,-0.467,0.004,0,4,15,6,0
85,0.001,0.009,-0.005,-0.794,-0.822,0.01,0,4,15,6,0
85.5,0.003,0.011,-0.007,-0.734,-1.131,0.016,0,4,15,6,0
86,0.005,0.012,-0.008,-0.514,-1.355,0.021,0,4,15,6,0
86.5,0.007,0.011,-0.008,-0.15,-1.474,0.025,0,4,15,6,0
87,0.007,0.009,-0.007,0.337,-1.467,0.027,0,4,15,6,0
87.5,0.007,0.007,-0.006,0.828,-1.345,0.027,0,4,15,6,0
88,0.005,0.004,-0.004,1.231,-1.116,0.025,0,4,15,6,0
88.5,0.003,0.002,-0.002,1.488,-0.79,0.021,0,4,15,6,0
89,-0.001,0,0,1.581,-0.384,0.014,0,4,15,6,0
89.5,-0.004,-0.001,0.003,1.52,0.082,0.006,0,4,15,6,0
90,-0.008,-0.001,0.005,1.279,0.563,-0.003,0,4,15,6,0
90.5,-0.011,0,0.006,0.892,1.023,-0.013,0,4,15,6,0
