时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
0.5,0,0.007,0.006,5.063,0,0.014,0,5,15,6,0
1,0.001,0.007,0.007,5.431,-0.008,0.015,0,5,15,6,0
1.5,0.002,0.006,0.006,4.698,-0.024,0.013,0,5,15,6,0
2,0.002,0.004,0.004,3.054,-0.048,0.009,0,5,15,6,0
2.5,0,0.001,0.001,0.842,-0.084,0.003,0,5,15,6,0
3,-0.002,-0.002,-0.002,-1.489,-0.133,-0.003,0,5,15,6,0
3.5,-0.004,-0.004,-0.005,-3.481,-0.191,-0.008,0,5,15,6,0
4,-0.006,-0.005,-0.007,-4.759,-0.253,-0.011,0,5,15,6,0
4.5,-0.007,-0.004,-0.007,-5.107,-0.317,-0.011,0,5,15,6,0
5,-0.007,-0.003,-0.007,-4.498,-0.378,-0.009,0,5,15,6,0
5.5,-0.006,-0.002,-0.005,-3.094,-0.433,-0.005,0,5,15,6,0
6,-0.003,0,-0.003,-1.201,-0.478,0,0,5,15,6,0
6.5,-0.001,0,-0.001,0.796,-0.508,0.006,0,5,15,6,0
7,0.001,0,0.001,2.522,-0.515,0.011,0,5,15,6,0
7.5,0.003,-0.001,0.003,3.628,-0.511,0.014,0,5,15,6,0
8,0.003,-0.001,0.003,3.843,-0.525,0.014,0,5,15,6,0
8.5,0.002,-0.001,0.002,3.159,-0.554,0.013,0,5,15,6,0
9,0,0,0,1.854,-0.553,0.009,0,5,15,6,0
9.5,-0.001,0.001,-0.002,0.242,-0.519,0.005,0,5,15,6,0
10,-0.002,0.003,-0.003,-1.317,-0.44,0,0,5,15,6,0
10.5,-0.002,0.004,-0.005,-2.612,-0.362,-0.004,0,5,15,6,0
11,-0.002,0.005,-0.005,-3.431,-0.293,-0.007,0,5,15,6,0
11.5,-0.002,0.006,-0.006,-3.698,-0.262,-0.008,0,5,15,6,0
12,-0.001,0.006,-0.005,-3.382,-0.265,-0.007,0,5,15,6,0
12.5,0,0.004,-0.004,-2.52,-0.283,-0.005,0,5,15,6,0
13,0,0.003,-0.003,-1.287,-0.311,-0.001,0,5,15,6,0
13.5,0,0.001,-0.001,0.056,-0.35,0.003,0,5,15,6,0
14,0,0,0,1.235,-0.399,0.006,0,5,15,6,0
14.5,0,-0.001,0.001,2.009,-0.462,0.009,0,5,15,6,0
15,-0.001,-0.001,0.001,2.355,-0.489,0.01,0,5,15,6,0
15.5,-0.001,-0.001,0.001,2.378,-0.427,0.01,0,5,15,6,0
16,-0.002,-0.001,0.002,2.161,-0.26,0.008,0,5,15,6,0
16.5,-0.002,-0.001,0.002,1.671,-0.04,0.005,0,5,15,6,0
17,-0.002,-0.001,0.002,0.911,0.185,0.001,0,5,15,6,0
17.5,-0.001,0,0.001,0.004,0.391,-0.003,0,5,15,6,0
18,-0.001,0,0.001,-0.764,0.61,-0.007,0,5,15,6,0
18.5,-0.002,0,0.002,-1.185,0.844,-0.01,0,5,15,6,0
19,-0.003,0,0.003,-1.14,1.095,-0.012,0,5,15,6,0
19.5,-0.004,0.001,0.004,-0.731,1.318,-0.012,0,5,15,6,0
20,-0.005,0.002,0.005,-0.168,1.458,-0.012,0,5,15,6,0
20.5,-0.006,0.003,0.006,0.401,1.504,-0.011,0,5,15,6,0
21,-0.005,0.004,0.006,0.858,1.453,-0.009,0,5,15,6,0
21.5,-0.005,0.005,0.006,1.149,1.322,-0.007,0,5,15,6,0
22,-0.004,0.005,0.006,1.239,1.126,-0.005,0,5,15,6,0
22.5,-0.002,0.004,0.004,0.971,0.817,-0.004,0,5,15,6,0
23,-0.001,0.002,0.002,0.311,0.389,-0.002,0,5,15,6,0
23.5,0,-0.002,-0.002,-0.748,-0.187,-0.001,0,5,15,6,0
24,0.001,-0.006,-0.006,-2.031,-0.881,0.001,0,5,15,6,0
24.5,0,-0.011,-0.01,-3.235,-1.629,0.004,0,5,15,6,0
25,-0.002,-0.015,-0.014,-4.102,-2.377,0.008,0,5,15,6,0
25.5,-0.005,-0.018,-0.017,-4.51,-3.093,0.012,0,5,15,6,0
26,-0.008,-0.019,-0.019,-4.448,-3.75,0.017,0,5,15,6,0
26.5,-0.011,-0.019,-0.02,-3.884,-4.28,0.023,0,5,15,6,0
27,-0.013,-0.017,-0.02,-2.863,-4.623,0.028,0,5,15,6,0
27.5,-0.015,-0.015,-0.019,-1.542,-4.744,0.033,0,5,15,6,0
28,-0.015,-0.011,-0.017,-0.215,-4.651,0.036,0,5,15,6,0
28.5,-0.014,-0.008,-0.015,0.859,-4.353,0.036,0,5,15,6,0
29,-0.012,-0.005,-0.012,1.454,-3.883,0.034,0,5,15,6,0
29.5,-0.01,-0.003,-0.01,1.494,-3.265,0.03,0,5,15,6,0
30,-0.008,-0.001,-0.008,1.126,-2.491,0.022,0,5,15,6,0
30.5,-0.006,0,-0.005,0.479,-1.605,0.014,0,5,15,6,0
31,-0.003,0,-0.002,-0.206,-0.624,0.004,0,5,15,6,0
31.5,0.001,0,0.001,-0.733,0.405,-0.005,0,5,15,6,0
32,0.004,-0.001,0.003,-1.133,1.364,-0.014,0,5,15,6,0
32.5,0.006,-0.003,0.006,-1.39,2.184,-0.021,0,5,15,6,0
33,0.007,-0.006,0.008,-1.434,2.829,-0.026,0,5,15,6,0
33.5,0.008,-0.008,0.01,-1.279,3.255,-0.029,0,5,15,6,0
34,0.007,-0.009,0.011,-1.023,3.419,-0.029,0,5,15,6,0
34.5,0.006,-0.01,0.011,-0.713,3.323,-0.028,0,5,15,6,0
35,0.004,-0.01,0.01,-0.384,2.99,-0.024,0,5,15,6,0
