时间t,纵向位移X,横向位移Y,垂向位移Z,横倾角Phi,纵倾角Theta,首向角Psi,船型,浪级,浪向角,吃水,航速
1.5,-0.001,-0.004,-0.004,-2.511,-0.696,-0.001,0,6,15,6,0
2,-0.002,-0.006,-0.006,-2.24,-1.496,0.004,0,6,15,6,0
2.5,-0.004,-0.007,-0.008,-1.785,-2.27,0.009,0,6,15,6,0
3,-0.006,-0.007,-0.009,-1.284,-2.985,0.014,0,6,15,6,0
3.5,-0.007,-0.007,-0.01,-0.835,-3.596,0.018,0,6,15,6,0
4,-0.009,-0.007,-0.011,-0.379,-4.009,0.021,0,6,15,6,0
4.5,-0.01,-0.006,-0.011,0.075,-4.183,0.023,0,6,15,6,0
5,-0.01,-0.004,-0.01,0.508,-4.086,0.023,0,6,15,6,0
5.5,-0.009,-0.002,-0.009,0.926,-3.699,0.022,0,6,15,6,0
6,-0.007,-0.001,-0.007,1.302,-3.037,0.019,0,6,15,6,0
6.5,-0.004,0,-0.004,1.556,-2.152,0.015,0,6,15,6,0
7,-0.001,0,-0.001,1.773,-1.05,0.009,0,6,15,6,0
7.5,0.002,-0.001,0.002,2.01,0.223,0.003,0,6,15,6,0
8,0.006,-0.003,0.007,2.458,1.678,-0.004,0,6,15,6,0
8.5,0.01,-0.006,0.011,2.99,3.19,-0.012,0,6,15,6,0
9,0.012,-0.01,0.015,3.347,4.612,-0.019,0,6,15,6,0
9.5,0.014,-0.014,0.019,3.472,5.869,-0.025,0,6,15,6,0
10,0.013,-0.017,0.021,3.376,6.894,-0.031,0,6,15,6,0
10.5,0.012,-0.02,0.023,3.026,7.603,-0.036,0,6,15,6,0
11,0.009,-0.022,0.024,2.657,8.028,-0.039,0,6,15,6,0
11.5,0.006,-0.023,0.023,2.228,8.089,-0.04,0,6,15,6,0
12,0.003,-0.022,0.022,1.656,7.734,-0.039,0,6,15,6,0
12.5,0,-0.02,0.019,1.034,6.994,-0.036,0,6,15,6,0
13,-0.002,-0.016,0.016,0.508,5.932,-0.031,0,6,15,6,0
13.5,-0.003,-0.012,0.012,0.216,4.635,-0.025,0,6,15,6,0
14,-0.003,-0.008,0.009,0.296,3.221,-0.017,0,6,15,6,0
14.5,-0.003,-0.005,0.005,0.72,1.778,-0.008,0,6,15,6,0
15,-0.001,-0.002,0.002,1.35,0.379,0,0,6,15,6,0
15.5,0.001,0.001,-0.001,1.704,-1.027,0.009,0,6,15,6,0
16,0.004,0.003,-0.005,1.657,-2.354,0.016,0,6,15,6,0
16.5,0.007,0.004,-0.008,1.297,-3.501,0.021,0,6,15,6,0
17,0.01,0.004,-0.011,0.724,-4.398,0.025,0,6,15,6,0
17.5,0.014,0.004,-0.014,-0.215,-5.105,0.027,0,6,15,6,0
18,0.017,0.002,-0.016,-1.469,-5.62,0.028,0,6,15,6,0
18.5,0.019,0,-0.018,-2.898,-5.959,0.027,0,6,15,6,0
19,0.02,-0.003,-0.02,-4.124,-6.061,0.025,0,6,15,6,0
19.5,0.02,-0.005,-0.02,-4.634,-5.82,0.023,0,6,15,6,0
20,0.017,-0.007,-0.017,-4.102,-5.174,0.02,0,6,15,6,0
20.5,0.012,-0.007,-0.013,-2.656,-4.177,0.018,0,6,15,6,0
21,0.007,-0.005,-0.009,-0.79,-2.966,0.015,0,6,15,6,0
21.5,0.003,-0.003,-0.004,0.858,-1.71,0.011,0,6,15,6,0
22,0,0,0,1.903,-0.499,0.006,0,6,15,6,0
22.5,-0.002,0.003,0.004,2.167,0.592,0.001,0,6,15,6,0
23,-0.002,0.005,0.006,1.796,1.565,-0.005,0,6,15,6,0
23.5,-0.002,0.007,0.007,1.015,2.4,-0.011,0,6,15,6,0
24,-0.001,0.008,0.008,-0.095,3.006,-0.017,0,6,15,6,0
24.5,0,0.008,0.008,-1.346,3.341,-0.021,0,6,15,6,0
25,0.001,0.007,0.007,-2.238,3.491,-0.023,0,6,15,6,0
25.5,0.002,0.007,0.007,-2.421,3.507,-0.024,0,6,15,6,0
26,0.003,0.007,0.007,-2.021,3.331,-0.022,0,6,15,6,0
26.5,0.003,0.006,0.006,-1.347,2.907,-0.018,0,6,15,6,0
27,0.003,0.004,0.005,-0.775,2.187,-0.013,0,6,15,6,0
27.5,0.002,0.002,0.003,-0.584,1.167,-0.007,0,6,15,6,0
28,-0.001,-0.001,-0.001,-0.922,-0.126,-0.001,0,6,15,6,0
28.5,-0.005,-0.003,-0.005,-1.543,-1.534,0.005,0,6,15,6,0
29,-0.009,-0.004,-0.009,-2.066,-2.884,0.012,0,6,15,6,0
29.5,-0.013,-0.004,-0.013,-2.452,-4.133,0.018,0,6,15,6,0
30,-0.017,-0.002,-0.016,-2.673,-5.212,0.023,0,6,15,6,0
30.5,-0.019,0,-0.019,-2.855,-6.124,0.028,0,6,15,6,0
31,-0.021,0.003,-0.021,-3.01,-6.822,0.031,0,6,15,6,0
31.5,-0.022,0.006,-0.022,-3.093,-7.261,0.034,0,6,15,6,0
32,-0.021,0.009,-0.022,-3.08,-7.416,0.034,0,6,15,6,0
32.5,-0.02,0.011,-0.022,-2.958,-7.278,0.034,0,6,15,6,0
